Genome Name / Sample Name	JGI Project ID / ITS PID	DB	IMG_Name	IMG_Downloaded
Chryseobacterium sp. YR477	1035834	ChrspYR477_FD	ChrspYR477_FD.2585428182.tar.gz	YES
Leptotrichia wadei DSM 19758	405775	LepDSM19758_FD	LepDSM19758_FD.2515154120.tar.gz	YES
Janthinobacterium lividum NFR18	1049652	JanlivNFR18_FD	JanlivNFR18_FD.2600255292.tar.gz	YES
Parasporobacterium paucivorans DSM 15970	1036764	ParpauDSM15970_FD	ParpauDSM15970_FD.2585427596.tar.gz	YES
Halalkalibacillus halophilus DSM 18494	1012118	HalhalDSM18494_FD	HalhalDSM18494_FD.2524023153.tar.gz	YES
Acidovorax sp. JHL-9	1016758	AcispJHL9_FD	AcispJHL9_FD.2526164764.tar.gz	YES
Succinivibrio dextrinosolvens ACV-10	1041640	SucdexACV10_FD	SucdexACV10_FD.2595698228.tar.gz	YES
Thermoanaerobacter sp. X561	52208	thee5	NA	NO
Selenomonas sp. ND2010	1026002	SelspND2010_FD	SelspND2010_FD.3412911-2562617002.tar.gz	YES
Leadbetterella byssophila 4M15, DSM 17132	97907	LeabysDSM17132_FD	NA	NO
Gaetbulibacter saemankumensis DSM 17032	1013972	GaesaeDSM17032_FD	GaesaeDSM17032_FD.2524614665.tar.gz	YES
Salinispora pacifica CNY363	1025359	SalpacCNY363_FD	SalpacCNY363_FD.2563366534.tar.gz	YES
Salinispora arenicola CNY256	1007303	SalareCNY256_FD	SalareCNY256_FD.2518285559.tar.gz	YES
Stenotrophomonas maltophilia ATCC 19867	1006805	PsehibATCC19867_FD	PsehibATCC19867_FD.2521172560.tar.gz	YES
Zoogloea ramigera ATCC 19544	1047239	ZooramATCC19544_FD	ZooramATCC19544_FD.2596583626.tar.gz	YES
Marininema halotolerans DSM 45789	1086213	MarhalDSM45789_FD	MarhalDSM45789_FD.2675903148.tar.gz	YES
Sediminimonas qiaohouensis DSM 21189	1011983	SedqiaDSM21189_FD	SedqiaDSM21189_FD.2523533612.tar.gz	YES
Paenibacillus sp. BC26	1094136	PaespBC26_FD	PaespBC26_FD.2690315656.tar.gz	YES
Micromonospora cremea DSM 45599	1068218	MiccreDSM45599_FD	MiccreDSM45599_FD.2630968262.tar.gz	YES
Tetragenococcus halophilus DSM 20339	1030782	TethalDSM20339_FD	TethalDSM20339_FD.2574179712.tar.gz	YES
Gemmobacter caeni CGMCC 1.7745	1041421	GemcaeCGMCC17745_FD	GemcaeCGMCC17745_FD.2596583642.tar.gz	YES
Rhizobium sp. YR295	1035723	RhispYR295_FD	RhispYR295_FD.2582581306.tar.gz	YES
Sedimentitalea nanhaiensis CGMCC 1.10959	1076330	LeinanCGMC110959_FD	LeinanCGMC110959_FD.2667527411.tar.gz	YES
Desulfosarcina sp. BuS5	403224	DesspBuS5_FD	DesspBuS5_FD.2513237157.tar.gz	YES
Mesorhizobium sp. YR577	1094127	MesspYR577_FD	MesspYR577_FD.2687453760.tar.gz	YES
Glaciecola pallidula DSM 14239	1010839	GlapalDSM14239_FD	GlapalDSM14239_FD.2524023167.tar.gz	YES
Bradyrhizobium arachidis LMG 26795	1071345	BraaraLMG26795_FD	BraaraLMG26795_FD.2654588141.tar.gz	YES
Sinorhizobium meliloti GVPV12	404602	SinmelGVPV12_FD	SinmelGVPV12_FD.2513237140.tar.gz	YES
Clostridiales bacterium R-7	1060343	ClobacR7_FD	ClobacR7_FD.2623620525.tar.gz	YES
Pseudomonas mucidolens LMG 2223	1090749	PsemucLMG2223_FD	PsemucLMG2223_FD.2667527233.tar.gz	YES
Candidatus Pelagibacter ubique HTCC7217	1025743	CanPelubHTCC7217_FD	CanPelubHTCC7217_FD.2561511228.tar.gz	YES
Eubacterium sp. AB3007	1020317	EubspAB3007_FD	EubspAB3007_FD.3408070-2558860974.tar.gz	YES
Geobacillus sp. Y412MC61	97009	geo_1	NA	NO
Tsukamurella paurometabola 33, DSM 20162	97963	tsupa	NA	NO
Nocardioides sp. J52	403831	NocspJ52_FD	NocspJ52_FD.2510461002.tar.gz	YES
Pseudidiomarina donghaiensis CGMCC 1.7284	1058168	PsedonCGMCC17284_FD	PsedonCGMCC17284_FD.2619618818.tar.gz	YES
Alistipes timonensis DSM 25383	1108145	AlitimDSM25383_FD	AlitimDSM25383_FD.2693429854.tar.gz	YES
Gilvimarinus chinensis DSM 19667	1002926	GilchiDSM19667_FD	GilchiDSM19667_FD.2519103187.tar.gz	YES
Rhizobium leguminosarum bv. trifolii WSM1325	16321	rhile	NA	NO
Desulfobulbus propionicus 1pr3, DSM 2032	98042	DesproDSM2032_FD	NA	NO
Bacillus sp. 112MF	1065149	Bacillussp112MF_FD	Bacillussp112MF_FD.2639762568.tar.gz	YES
Streptomyces sp. ScaeMP-e10	405355	StrspScaeMPe10_FD	StrspScaeMPe10_FD.2515154102.tar.gz	YES
Salegentibacter salegens ACAM 48	1115233	SalsalACAM48_FD	SalsalACAM48_FD.2698536943.tar.gz	YES
Pilibacter termitis ATCC BAA-1030	1035984	PilterATCBAA1030_FD	PilterATCBAA1030_FD.2585428141.tar.gz	YES
Rhizobium leguminosarum bv. viciae GB30	404588	RhilegviciaeGB30_FD	RhilegviciaeGB30_FD.2513237162.tar.gz	YES
Tissierella praeacuta DSM 18095	1036551	TispraDSM18095_FD	TispraDSM18095_FD.2582581260.tar.gz	YES
Rhizobium leguminosarum bv. trifolii SRDI943	404034	RhilegtriSRDI943_FD	RhilegtriSRDI943_FD.2517093000.tar.gz	YES
Desulfohalobium retbaense HR100, DSM 5692	98043	desr5	NA	NO
Microbulbifer marinus CGMCC 1.10657	1076374	MicmarCGMC110657_FD	MicmarCGMC110657_FD.2667527380.tar.gz	YES
Marinobacter aquaeolei VT8	16746	maraq	NA	NO
Paenibacillus sp. 276b	1050294	Paesp276b_FD	Paesp276b_FD.2603880220.tar.gz	YES
Burkholderia ambifaria MC40-6	16612	bura6	NA	NO
Reichenbachiella faecimaris DSM 26133	1055214	ReifaeDSM26133_FD	ReifaeDSM26133_FD.2619619645.tar.gz	YES
Pseudomonas putida GB-1	16869	psepg	NA	NO
Jatrophihabitans endophyticus DSM 45627	1108083	JatendDSM45627_FD	JatendDSM45627_FD.2695420949.tar.gz	YES
Klebsiella oxytoca BRL6-2	1002941	KlespBRL62_FD	KlespBRL62_FD.2521172537.tar.gz	YES
Porphyromonas somerae DSM 23386	405762	PorDSM23386_FD	PorDSM23386_FD.2515154109.tar.gz	YES
Riemerella columbina DSM 16469	405833	RieDSM16469_FD	RieDSM16469_FD.2517434010.tar.gz	YES
Oribacterium sp. KHPX15	1082137	OrispKHPX15_FD	OrispKHPX15_FD.2657244910.tar.gz	YES
Marinobacterium georgiense DSM 11526	1010803	MargeoDSM11526_FD	MargeoDSM11526_FD.2634166328.tar.gz	YES
Acidovorax soli DSM 25157	1086266	AcisolDSM25157_FD	AcisolDSM25157_FD.2675903230.tar.gz	YES
Xylella fastidiosa M23	16826	xylf2	NA	NO
Prevotellaceae bacterium MN60	1060345	PrebacMN60_FD	PrebacMN60_FD.2623620474.tar.gz	YES
Opitutaceae sp. TAV2	16815	opiba	NA	NO
Bradyrhizobium japonicum USDA 123	1006727	BrajapUSDA123_FD	BrajapUSDA123_FD.2528768022.tar.gz	YES
Klebsiella sp. NFIX56	1049901	KlespNFIX56_FD	KlespNFIX56_FD.2600255307.tar.gz	YES
Paraoerskovia marina DSM 22126	1068269	ParmarDSM22126_FD	ParmarDSM22126_FD.2634166844.tar.gz	YES
Lysinibacillus sp. YR326	1057548	LysspYR326_FD	LysspYR326_FD.2615840593.tar.gz	YES
Ruminococcus flavefaciens YL228	1034364	RumflaYL228_FD	RumflaYL228_FD.2593339237.tar.gz	YES
Dickeya zeae Ech1591	400045	dicda	NA	NO
Oceanimonas baumannii DSM 15594	1048891	OcebauDSM15594_FD	OcebauDSM15594_FD.2593339295.tar.gz	YES
Nitratiruptor tergarcus DSM 16512	404296	NitterDSM16512_FD	NitterDSM16512_FD.2516493030.tar.gz	YES
Mycoplasma testudineum ATCC 700618	1035912	MyctesATCC700618_FD	MyctesATCC700618_FD.2588254271.tar.gz	YES
Zymomonas mobilis mobilis CP4	202747	ZymmobGenomicDNA_3_FD	ZymmobGenomicDNA_3_FD.2517572225.tar.gz	YES
Actinomyces nasicola KPR-1	1041661	ActnasKPR1_FD	ActnasKPR1_FD.2593339153.tar.gz	YES
Arcobacter nitrofigilis DSM 7299	98027	arcni	NA	NO
Rhodobacter sphaeroides ATCC 17025	16325	rhos5	NA	NO
Tsukamurella tyrosinosolvens DSM 44234	1068293	TsutyrDSM44234_FD	TsutyrDSM44234_FD.2639762617.tar.gz	YES
Alteromonadaceae bacterium 2141T.STBD.0c.01a	1017227	Kuppol2STBD0c01a_FD	Kuppol2STBD0c01a_FD.2681812860.tar.gz	YES
Streptomyces sp. ATexAB-D23	405368	StrspATexABD23_FD	StrspATexABD23_FD.2515154149.tar.gz	YES
Halomonas ilicicola DSM 19980	1036587	HaliliDSM19980_FD	HaliliDSM19980_FD.2582581268.tar.gz	YES
Rhodanobacter sp. 2APBS1	401917	rho_2	rho_2.2506520041.tar.gz	YES
Comamonas nitrativorans DSM 13191	1030890	PsekalDSM13191_FD	PsekalDSM13191_FD.2574180442.tar.gz	YES
Streptomyces sp. BoleA5	405372	StrspBoleA5_FD	StrspBoleA5_FD.2515154169.tar.gz	YES
Bradyrhizobium lablabi GAS499	1111482	BralabGAS499_FD	BralabGAS499_FD.2698536816.tar.gz	YES
Atlantibacter subterranea DSM 16208	1030764	SalsubDSM16208_FD	SalsubDSM16208_FD.2574180435.tar.gz	YES
Alcanivorax sp. DSM 26293	1068486	AlcspDSM26293_FD	AlcspDSM26293_FD.2634166299.tar.gz	YES
Burkholderia sp. H160	16359	bur_h	NA	NO
Olsenella umbonata DSM 22620	1068231	OlsumbDSM22620_FD	OlsumbDSM22620_FD.2636416177.tar.gz	YES
Desulfovibrio longus DSM 6739	1010887	DeslonDSM6739_FD	DeslonDSM6739_FD.3367442-2523533522.tar.gz	YES
Arcticibacter pallidicorallinus CGMCC 1.9313	1128561	ArcpalCGMCC19313_FD	ArcpalCGMCC19313_FD.2718217677.tar.gz	YES
Pseudomonas sp. NFACC47-1	1049577	PsespNFACC471_FD	PsespNFACC471_FD.2599185304.tar.gz	YES
Agreia pratensis VKM Ac-2510	1118389	AgrpraVKMAc2510_FD	AgrpraVKMAc2510_FD.2708742395.tar.gz	YES
Paraburkholderia graminis C4D1M	16617	burgr	NA	NO
Burkholderia sp. CCGE1003	400289	bur_3	NA	NO
Saccharopolyspora hirsuta ATCC 20501	1047248	SachirATCC20501_FD	SachirATCC20501_FD.2597490365.tar.gz	YES
Mesorhizobium loti R88b	404032	MeslotR88b_FD	MeslotR88b_FD.2512875024.tar.gz	YES
Roseovarius sp. MCTG156(2b)	1022321	RosspMCTG1562b_FD	RosspMCTG1562b_FD.2576861823.tar.gz	YES
Lactobacillus saerimneri DSM 16049	1012082	LacsaeDSM16049_FD	LacsaeDSM16049_FD.2524023242.tar.gz	YES
Pseudoxanthomonas taiwanensis J19	403804	PsetaiJ19_FD	PsetaiJ19_FD.2505679064.tar.gz	YES
Legionella quinlivanii DSM 21216	1011133	LegquiDSM21216_FD	LegquiDSM21216_FD.2599185259.tar.gz	YES
Nitrosospira multiformis Nl13	1098121	NitmulNl13_FD	NitmulNl13_FD.2671180127.tar.gz	YES
Thalassobaculum salexigens DSM 19539	1012028	ThasalDSM19539_FD	ThasalDSM19539_FD.2523231049.tar.gz	YES
Rubrobacter xylanophilus DSM 9941	16348	rubxy	rubxy.2606217695.tar.gz	YES
Streptobacillus moniliformis 9901, DSM 12112	97945	strmo	NA	NO
Pseudomonas alcaligenes RU38D	1115950	PsealcRU38D_FD	PsealcRU38D_FD.2708743161.tar.gz	YES
Francisella tularensis holarctica FTA (FTNF002-00)	16038	null	NA	NO
Flavobacterium urumqiense CGMCC 1.9230	1058195	FlauruCGMCC19230_FD	FlauruCGMCC19230_FD.2617270781.tar.gz	YES
Gluconacetobacter diazotrophicus PA1 5	52190	GludiaPA15_FD	NA	NO
Sphingopyxis sp. YR583	1094168	SphspYR583_FD	SphspYR583_FD.2687453811.tar.gz	YES
Bosea lathyri DSM 26656	1059076	BoslatDSM26656_FD	BoslatDSM26656_FD.2622736433.tar.gz	YES
Klebsiella sp. NFIX14	1049775	KlespNFIX14_FD	KlespNFIX14_FD.2600255288.tar.gz	YES
Cupriavidus metallidurans CH34	16314	ralme	ralme.2606217374.tar.gz	YES
Mesorhizobium ciceri CMG6	404571	MescicCMG6_FD	MescicCMG6_FD.2509276018.tar.gz	YES
Filimonas lacunae DSM 21054	1097070	FillacDSM21054_FD	FillacDSM21054_FD.2681813554.tar.gz	YES
Propionibacteriaceae bacterium ES.041	1040159	Prosp031213_02_FD	Prosp031213_02_FD.2615840646.tar.gz	YES
Eubacterium ruminantium FB3002	1060321	EubrumFB3002_FD	EubrumFB3002_FD.2623620486.tar.gz	YES
Photorhabdus asymbiotica australis DSM 17609	1030887	PhoasyauDSM17609_FD	PhoasyauDSM17609_FD.2565956522.tar.gz	YES
Thioalkalivibrio sp. ALJ15	1008622	ThispstraiALJ15_FD	ThispstraiALJ15_FD.2521172693.tar.gz	YES
Thalassococcus halodurans DSM 26915	1055289	ThahalDSM26915_FD	ThahalDSM26915_FD.2617270859.tar.gz	YES
Thioalkalivibrio sp. ALMg13-2	1000502	ThispALMg132_FD	ThispALMg132_FD.2521172664.tar.gz	YES
Microbacterium sp. CL152	1065175	MicspCL152_FD	MicspCL152_FD.2639762630.tar.gz	YES
Bradyrhizobium japonicum in8p8	1015899	Brajapin8p8_FD	Brajapin8p8_FD.2524614546.tar.gz	YES
Lachnospira multipara D15d	1082123	LacmulD15d_FD	LacmulD15d_FD.2651870315.tar.gz	YES
Sanguibacter soli DSM 21574	1068229	SansolDSM21574_FD	SansolDSM21574_FD.2627854284.tar.gz	YES
Flavobacterium subsaxonicum DSM 21790	1012019	FlasubDSM21790_FD	FlasubDSM21790_FD.2524614667.tar.gz	YES
Thermoanaerobacterium thermosaccharolyticum DSM 571	52210	theth	NA	NO
Pseudomonas syringae pv. syringae B728a	16299	psesy	psesy.2606217649.tar.gz	YES
Pseudomonas zeshuii DSM 27927	1090740	PsezesDSM27927_FD	PsezesDSM27927_FD.2663762797.tar.gz	YES
Bacillus subtilis J25	403810	BacsubJ25_FD	BacsubJ25_FD.2505679044.tar.gz	YES
Rhodobacter sp. 24-YEA-8	1111462	Rhosp24YEA8_FD	Rhosp24YEA8_FD.2693429821.tar.gz	YES
Paenibacillus sp. J10	1020212	PaespJ10_FD	PaespJ10_FD.2505679063.tar.gz	YES
Pseudospirillum japonicum DSM 7165	1086240	PsejapDSM7165_FD	PsejapDSM7165_FD.2675903151.tar.gz	YES
Salinispora pacifica CNT148	407366	SalpacCNT148_2_FD	SalpacCNT148_2_FD.2515154204.tar.gz	YES
Maricaulis maris MCS10	16745	marma	marma.2606217462.tar.gz	YES
Clostridium ragsdalei P11	52218	CloragP11_FD	CloragP11_FD.2503707003.tar.gz	YES
Fluviicola taffensis RW262, DSM 16823	401054	FlutafDSM16823_FD	FlutafDSM16823_FD.2503707007.tar.gz	YES
Paenibacillus sp. 181MFCol5.1	1065151	Paesp181MFCol51_FD	Paesp181MFCol51_FD.2639762524.tar.gz	YES
Lactobacillus delbrueckii bulgaricus ATCC BAA-365	16099	lacde	NA	NO
Frateuria terrea DSM 26515	1055328	FraterDSM26515_FD	FraterDSM26515_FD.2617270826.tar.gz	YES
Arthrobacter sp. YR096	1057501	ArtspYR096_FD	ArtspYR096_FD.2615840638.tar.gz	YES
Rhizobium selenitireducens ATCC BAA-1503	1013205	RhiselATCBAA1503_FD	RhiselATCBAA1503_FD.2545555877.tar.gz	YES
Lachnospira multipara LB2003	1025966	LacmulLB2003_FD	LacmulLB2003_FD.3412922-2562617004.tar.gz	YES
Porphyromonas bennonis DSM 23058	405749	PorDSM23058_FD	PorDSM23058_FD.2517093003.tar.gz	YES
Trichococcus sp. DSM 22150	1055256	TrispDSM22150_FD	TrispDSM22150_FD.2619618824.tar.gz	YES
Pseudomonas sp. NFACC07-1	1049484	PsespNFACC071_FD	PsespNFACC071_FD.2599185305.tar.gz	YES
Streptococcus equinus Ye01	1082205	StrequYe01_FD	StrequYe01_FD.2654588209.tar.gz	YES
Veillonella parvula Te3, DSM 2008	97964	veipa	NA	NO
Pseudomonas sp. NFACC23-1	1049520	PsespNFACC231_FD	PsespNFACC231_FD.2599185314.tar.gz	YES
Extensimonas vulgaris CGMCC 1.10977	1041391	ExtvulCGMC110977_FD	ExtvulCGMC110977_FD.2596583579.tar.gz	YES
Olleya marilimosa CAM030	1016401	OllmarCAM030_FD	OllmarCAM030_FD.2545824540.tar.gz	YES
Flavobacterium granuli DSM 19729	1107846	FlagraDSM19729_FD	FlagraDSM19729_FD.2695420922.tar.gz	YES
Pseudomonas sp. NFR16	1049646	PsespNFR16_FD	PsespNFR16_FD.2600255283.tar.gz	YES
Pseudomonas sp. LAIL14HWK12:I1	1007023	PsespLAIL14HWI1_FD	PsespLAIL14HWI1_FD.2541046952.tar.gz	YES
Solirubrobacterales bacterium URHD0059	1018404	ConspURHD0059_FD	ConspURHD0059_FD.2558860160.tar.gz	YES
Paraburkholderia dilworthii WSM3556	404564	BurspWSM3556_FD	BurspWSM3556_FD.2508501124.tar.gz	YES
Flavobacterium cheniae CGMCC 1.6844	1041403	FlacheCGMCC16844_FD	FlacheCGMCC16844_FD.2596583558.tar.gz	YES
Syntrophorhabdus aromaticivorans UI	402819	SynaroUI_FD	SynaroUI_FD.2509601044.tar.gz	YES
Rhodopseudomonas palustris DX-1	400448	RhopalDX1_FD	NA	NO
Flavobacterium suncheonense GH29-5, DSM 17707	1012013	FlasunDSM17707_FD	FlasunDSM17707_FD.2524614632.tar.gz	YES
Paenibacillus sp. RU15A	1115943	PaespRU15A_FD	PaespRU15A_FD.2708743158.tar.gz	YES
Sedimentibacter saalensis DSM 13558	1048657	SedsaaDSM13558_FD	SedsaaDSM13558_FD.2596583544.tar.gz	YES
Spirosoma luteum DSM 19990	406514	SpiDSM19990_FD	SpiDSM19990_FD.2515154133.tar.gz	YES
Rheinheimera texasensis DSM 17496	1011085	RhetexDSM17496_FD	RhetexDSM17496_FD.2565956515.tar.gz	YES
Lactobacillus casei 21/1	404727	Laccas211_FD	Laccas211_FD.2516493016.tar.gz	YES
Frankia sp. EAN1pec	16048	fra_e	NA	NO
Runella limosa DSM 17973	1002197	RunlimDSM17973_FD	RunlimDSM17973_FD.2527291724.tar.gz	YES
Aureimonas ureilytica DSM 18598	405946	AurureDSM18598_FD	AurureDSM18598_FD.2515154138.tar.gz	YES
Thioalkalivibrio sp. K90mix	16486	thi_k	NA	NO
Roseateles sp. YR242	1057571	RosspYR242_FD	RosspYR242_FD.2615840637.tar.gz	YES
Carnobacterium pleistocenium FTR1	1027234	CarpleFTR1_FD	CarpleFTR1_FD.2576861401.tar.gz	YES
Fibrobacter sp. UWH4	1113454	FibspUWH4_FD	FibspUWH4_FD.2700988680.tar.gz	YES
Thioalkalivibrio sp. ALE14	1000436	ThispALE14_FD	ThispALE14_FD.2521172658.tar.gz	YES
Staphylococcus aureus aureus JH9	16893	staa9	NA	NO
Algoriphagus ratkowskyi DSM 22686	1049041	AlgratDSM22686_FD	AlgratDSM22686_FD.2593339288.tar.gz	YES
Ruegeria sp. P4	1105340	RuegeriaspP4_FD	RuegeriaspP4_FD.2710724219.tar.gz	YES
Clostridium botulinum Ba4 657	16686	null	NA	NO
Clostridium thermopalmarium DSM 5974	1048684	ClotheDSM5974_FD	ClotheDSM5974_FD.2599185222.tar.gz	YES
Sharpea azabuensis DSM 20406	1049925	ShaazaDSM20406_FD	ShaazaDSM20406_FD.2606217806.tar.gz	YES
Burkholderia sp. YR277	1057516	BurspYR277_FD	BurspYR277_FD.2711768617.tar.gz	YES
Cyclobacterium halophilum IBRC-M 10761	1071379	CychalIBRCM10761_FD	CychalIBRCM10761_FD.2651870114.tar.gz	YES
Bacillus sp. 1NLA3E	401919	Bacsp1NLA3E_FD	Bacsp1NLA3E_FD.2506520047.tar.gz	YES
Sphingomonas diazotrophica JS21-1	1071364	SphdiaJS211_FD	SphdiaJS211_FD.2657245271.tar.gz	YES
Methylibium petroleiphilum PM1	16148	metpe	NA	NO
Enterobacteriaceae sp. JKS000234	1104235	EntspJKS000234_FD	EntspJKS000234_FD.2703719188.tar.gz	YES
Ruminococcus flavefaciens YRD2003	1034220	RumflaYRD2003_FD	RumflaYRD2003_FD.2593339146.tar.gz	YES
Rhizobium sp. YR519	1035666	RhispYR519_FD	RhispYR519_FD.2582581304.tar.gz	YES
Streptococcus equinus pR-5	1049937	StrequpR5_FD	StrequpR5_FD.2608642181.tar.gz	YES
Geodermatophilus carrarae DSM 44511	1048807	GeocarDSM44511_FD	GeocarDSM44511_FD.2599185187.tar.gz	YES
Pseudosphingobacterium domesticum DSM 18733	1048753	PsedomDSM18733_FD	PsedomDSM18733_FD.2599185177.tar.gz	YES
Microcoleus vaginatus FGP-2	97024	MicvagFGP2_FD	MicvagFGP2_FD.2028778001.tar.gz	YES
Pseudomonas sp. NFACC41-3	1049559	PsespNFACC413_FD	PsespNFACC413_FD.2599185257.tar.gz	YES
Desulfovermiculus halophilus DSM 18834	1023997	DeshalDSM18834_FD	DeshalDSM18834_FD.3360778-2556921618.tar.gz	YES
Paenibacillus sp. CL141A	1065173	PaespCL141A_FD	PaespCL141A_FD.2636416070.tar.gz	YES
Sphingobacterium siyangensis CGMCC 1.6855	1041475	SphsiyCGMCC16855_FD	SphsiyCGMCC16855_FD.2596583573.tar.gz	YES
Rhizobium leguminosarum bv. viciae Ps8	404579	RhilegbviciaePs8	RhilegbviciaePs8.2515154116.tar.gz	YES
Corynebacterium ulceribovis DSM 45146	405896	CorDSM45146_FD	CorDSM45146_FD.2515154059.tar.gz	YES
Pseudomonas fluorescens BZ64	404722	PsespBZ64_FD	PsespBZ64_FD.2513237142.tar.gz	YES
Actinomyces neuii neuii DSM 8576	1012127	ActneuneuDSM8576_FD	ActneuneuDSM8576_FD.2524023166.tar.gz	YES
Pseudomonas sp. NFPP18	1049697	PsespNFPP18_FD	PsespNFPP18_FD.2599185165.tar.gz	YES
Clostridiales bacterium NK3B98	1012683	ClobacNK3B98_FD	ClobacNK3B98_FD.2524614801.tar.gz	YES
Streptococcus pyogenes DSM 20565	1013562	StrpyoDSM20565_FD	StrpyoDSM20565_FD.2523533626.tar.gz	YES
Roseivivax marinus DSM 27511	1108155	RosmarDSM27511_FD	RosmarDSM27511_FD.2693429879.tar.gz	YES
Stappia sp. ES.058	1101007	StappiaspES058_FD	StappiaspES058_FD.2684623039.tar.gz	YES
Paenibacillus sp. OK003	1094139	PaespOK003_FD	PaespOK003_FD.2687453683.tar.gz	YES
Ilyobacter polytropus CuHBu1, DSM 2926	202786	IlypolDSM2926_FD	NA	NO
Simiduia agarivorans DSM 21679	1008559	SimagaDSM21679_FD	SimagaDSM21679_FD.2522572190.tar.gz	YES
Methylotenera mobilis #13	404073	MetmobStrain13_FD	MetmobStrain13_FD.2517287022.tar.gz	YES
Roseovarius azorensis DSM 100674	1108169	RosazoDSM100674_FD	RosazoDSM100674_FD.2693429884.tar.gz	YES
Pacificibacter marinus DSM 25228	1059058	RosmarDSM25228_FD	RosmarDSM25228_FD.2622736522.tar.gz	YES
Alteromonadaceae bacterium 2753L.S.0a.02	1021873	Altbac2753LS0a02_FD	Altbac2753LS0a02_FD.2579779156.tar.gz	YES
Thermotoga Toll_T1-r01 (Novel Thermotoga (OCT_11_ug8))	0	pinbe	NA	NO
Chitinophaga rupis DSM 21039	1059116	ChirupDSM21039_FD	ChirupDSM21039_FD.2622736599.tar.gz	YES
Rhizobium oryzae CGMCC 1.7048	1058160	RhioryCGMCC17048_FD	RhioryCGMCC17048_FD.2617270885.tar.gz	YES
Bacillus coagulans NRS 609, DSM 1, ATCC 7050	1008066	BaccoaATCC7050_FD	BaccoaATCC7050_FD.2524614861.tar.gz	YES
Streptomyces sp. 303MFCol5.2	1003085	Strsp303MFCol52_FD	Strsp303MFCol52_FD.2521172626.tar.gz	YES
Lewinella cohaerens DSM 23179	405935	LewDSM23179_FD	LewDSM23179_FD.2515154030.tar.gz	YES
Duganella sp. CF402	1057538	DugspCF402_FD	DugspCF402_FD.2616644845.tar.gz	YES
Actinomadura glauciflava DSM 44770	1030947	ActglaDSM44770_FD	ActglaDSM44770_FD.2571042017.tar.gz	YES
Rhodanobacter sp. TND4FH1	1115961	RhospTND4FH1_FD	RhospTND4FH1_FD.2708743160.tar.gz	YES
Pedobacter alluvionis DSM 19624	1097103	PedallDSM19624_FD	PedallDSM19624_FD.2690315623.tar.gz	YES
Chryseobacterium sp. OV259	1035840	ChrspOV259_FD	ChrspOV259_FD.2582581873.tar.gz	YES
Halomonas sp. 19A_GOM-1509m	1018548	Halsp19A_G1509m_FD	Halsp19A_G1509m_FD.3356613-2556921016.tar.gz	YES
Pseudobutyrivibrio ruminis ACV-9	1041637	PserumACV9_FD	PserumACV9_FD.2595698239.tar.gz	YES
Bacillus sp. RU27A	1115926	BacillusspRU27A_FD	BacillusspRU27A_FD.2708742398.tar.gz	YES
Pantoea ananatis NFIX48	1049877	PananaNFIX48_FD	PananaNFIX48_FD.2684622997.tar.gz	YES
Parabacteroides gordonii DSM 23371	1002986	PargorDSM23371_FD	PargorDSM23371_FD.2524614557.tar.gz	YES
Gordonia bronchialis 3410, DSM 43247	98056	gorbr	NA	NO
Orenia metallireducens MSL47	1120081	OrechiMSL47_FD	OrechiMSL47_FD.2703719066.tar.gz	YES
Thioalkalivibrio sp. ALJ12	1000355	ThispALJ12_FD	ThispALJ12_FD.2519103027.tar.gz	YES
Colwellia chukchiensis CGMCC 1.9127	1076367	ColchuCGMCC19127_FD	ColchuCGMCC19127_FD.2667527443.tar.gz	YES
Lachnoclostridium phytofermentans KNHs212	1022991	ClophyKNHs212_FD	ClophyKNHs212_FD.3408157-2561511066.tar.gz	YES
Pontibacter roseus DSM 17521	406518	PonDSM17521_FD	PonDSM17521_FD.2515154084.tar.gz	YES
Prevotella sp. MA2016	1020359	PrespMA2016_FD	PrespMA2016_FD.3408118-2558860990.tar.gz	YES
Pseudomonas sp. LAMO17WK12:I1	1007059	PsespLAMO17WKI1_FD	PsespLAMO17WKI1_FD.2521172671.tar.gz	YES
Paenisporosarcina quisquiliarum SK 55	1052565	PaequiSK55_FD	PaequiSK55_FD.2623620615.tar.gz	YES
Syntrophus gentianae DSM 8423	1068536	SyngenDSM8423_FD	SyngenDSM8423_FD.2634166346.tar.gz	YES
Pinastrimonas cellulosilyticum A37T11	1102478	PincelA37T11_FD	PincelA37T11_FD.2671180114.tar.gz	YES
Sphingobacterium multivorum DSM 11691	1030929	SphmulDSM11691_FD	SphmulDSM11691_FD.2571042348.tar.gz	YES
Nitrosomonas sp. IS79A3	16218	NitspIs79A3_FD	NA	NO
Achromobacter sp. MFA1 R4	1106204	AchspMFA1R4_FD	AchspMFA1R4_FD.2681813522.tar.gz	YES
Maribacter sp. MAR_2009_72	1045153	MarspAR_2009_72_FD	MarspAR_2009_72_FD.2593339139.tar.gz	YES
Flavobacterium gelidilacus DSM 15343	1011001	FlagelDSM15343_FD	FlagelDSM15343_FD.2523533607.tar.gz	YES
Ferrimonas kyonanensis DSM 18153	1013601	FerkyoDSM18153_FD	FerkyoDSM18153_FD.2524023060.tar.gz	YES
Sinobaca qinghaiensis DSM 17008	1068531	SinqinDSM17008_FD	SinqinDSM17008_FD.2636416020.tar.gz	YES
Beutenbergia cavernae HKI 0122, DSM 12333	98030	beuca	NA	NO
